timestamp,ctrl_output_x(ned),ctrl_output_y(ned),ctrl_output_z(ned),U1,q_d_w,q_d_x,q_d_y,q_d_z
1581496246706932068,-0.0715993,0.0207424,-9.11855,0.372921,0.999991,0.00113342,0.00392706,-0.00100108
1581496246706932068,-0.0715993,0.0207424,-9.11855,0.372921,0.999991,0.00113342,0.00392706,-0.00100108
1581496246727584362,-0.0566431,0.0220884,-9.12371,0.373132,0.999994,0.00120737,0.00310533,-0.00100039
1581496246727584362,-0.0568137,0.022135,-9.12155,0.373044,0.999994,0.0012102,0.00311542,-0.00100041
1581496246739037514,-0.0575294,0.022626,-9.12186,0.373058,0.999994,0.00123703,0.00315456,-0.00100054
1581496246752354860,-0.0595752,0.0252351,-9.1295,0.373374,0.999993,0.00137877,0.00326411,-0.00100114
1581496246768188477,-0.0608982,0.0206708,-9.13968,0.373792,0.999993,0.00112747,0.00333259,-0.00100039
1581496246775203466,-0.0570317,0.0170049,-9.13998,0.373804,0.999994,0.000927116,0.00312078,-0.00099953
1581496246787252426,-0.0557137,0.0292222,-9.13678,0.373682,0.999994,0.00159607,0.00305042,-0.00100151
1581496246797247648,-0.0687345,0.0281102,-9.13346,0.373547,0.999991,0.00153505,0.00376423,-0.00100241
1581496246803541422,-0.0662541,0.0278301,-9.13594,0.37365,0.999992,0.00151944,0.00362745,-0.00100214
1581496246811402082,-0.0686852,0.0262027,-9.13738,0.373709,0.999991,0.00143002,0.00375982,-0.00100201
1581496246827125311,-0.0542096,0.0393612,-9.13891,0.373778,0.999993,0.00215048,0.00296797,-0.00100302
1581496246827125311,-0.0543222,0.0394091,-9.13732,0.373714,0.999993,0.00215346,0.00297464,-0.00100305
1581496246827125311,-0.0543222,0.0394091,-9.13732,0.373714,0.999993,0.00215346,0.00297464,-0.00100305
1581496246851786613,-0.0625404,0.0423105,-9.14455,0.374013,0.999991,0.00230993,0.00342178,-0.00100454
1581496246867448807,-0.0449032,0.043264,-9.15008,0.374239,0.999994,0.00236163,0.00245603,-0.00100245
1581496246867448807,-0.0450068,0.0433322,-9.14854,0.374176,0.999994,0.00236575,0.00246211,-0.00100247
1581496246887359858,-0.0442993,0.0478226,-9.15256,0.374344,0.999993,0.00261005,0.00242262,-0.00100297
1581496246896201611,-0.0439496,0.0537306,-9.15371,0.374393,0.999992,0.00293243,0.00240354,-0.0010037
1581496246904527187,-0.0320071,0.039833,-9.15174,0.374305,0.999996,0.00217448,0.00175085,-0.00100046
1581496246913804054,-0.0274818,0.0575093,-9.14897,0.374197,0.999993,0.00314138,0.00150503,-0.00100138
1581496246929335356,-0.0241422,0.0513686,-9.14366,0.373976,0.999995,0.00280761,0.00132295,-0.00100037
1581496246937330961,-0.0145166,0.0228624,-9.14264,0.373917,0.999998,0.00124952,0.00079514,-0.000997645
1581496246937330961,-0.0145166,0.0228624,-9.14264,0.373917,0.999998,0.00124952,0.00079514,-0.000997645
1581496246952175617,-0.0473119,0.087283,-9.13388,0.373595,0.999985,0.00477515,0.00259461,-0.00100904
1581496246961307049,-0.0310376,0.0509138,-9.11199,0.372675,0.999994,0.00279203,0.00170589,-0.00100141
1581496246976299286,0.0227362,0.0539542,-9.12158,0.373046,0.999994,0.00295869,-0.00124333,-0.000992975
1581496246984378576,-0.0502114,0.0659404,-9.13748,0.373728,0.999989,0.00360536,0.0027511,-0.00100657
1581496246993125439,0.0106421,0.0186204,-9.15474,0.374385,0.999999,0.00101756,-0.000580218,-0.000996061
1581496247008725882,-0.0318791,-0.0437156,-9.17,0.374989,0.999995,-0.00238531,0.00173584,-0.000992509
1581496247016200066,0.0659191,0.130108,-9.13674,0.373686,0.999968,0.00712284,-0.0036001,-0.000971013
1581496247024587154,-0.0570188,-0.0699437,-9.15553,0.374391,0.999987,-0.00382267,0.00311002,-0.000984755
