timestamp,mocap_x(ned),mocap_y(ned),mocap_z(ned),mocap_vx(ned),mocap_vy(ned),mocap_vz(ned),mocap_ax(ned),mocap_ay(ned),mocap_az(ned),mocap_q_w,mocap_q_x,mocap_q_y,mocap_q_z,pos_d_x,pos_d_y,pos_d_z,vel_d_x,vel_d_y,vel_d_z,acc_d_x,acc_d_y,acc_d_z,int_x,int_y,int_z,ref_mask
1581488471288565024,0.0022923,-0.00290436,-0.0209332,-0.000827272,-0.0167563,-0.0789374,0.217963,-0.372734,0.0474968,0.999874,0.0152484,0.000192233,0.00438627,-0.00152299,-0.00183584,0.180884,-0.0053414,0.00160278,0.322908,0,0,0,2.71006e-312,2.71002e-312,2.71396e-312,1
1581488471296614720,0.00220405,-0.00285804,-0.0208807,-0.0016485,-0.0159775,-0.0798578,0.217963,-0.372734,0.0474968,0.999874,0.015267,0.000139707,0.00432898,-0.00152299,-0.00183584,0.180884,-0.00521786,0.0015333,0.322824,0,0,0,0,0,0,1
1581488471306536160,0.00206492,-0.00283159,-0.0210437,0.00143177,-0.0186527,-0.080606,0.371198,-0.349909,0.0146364,0.999874,0.0152901,5.21004e-05,0.00431735,-0.00152299,-0.00183584,0.180884,-0.00502308,0.00149363,0.323085,0,0,0,0,0,0,1
1581488471316461184,0.00177973,-0.00264655,-0.0208113,-0.00311984,-0.0144107,-0.0804552,-0.260837,0.166274,0.0124911,0.999871,0.0154398,0.000101775,0.00442142,-0.00152299,-0.00183584,0.180884,-0.00462381,0.00121606,0.322713,0,0,0,-3.87272e-05,0.000120872,0.00524772,1
1581488471326448032,0.00143964,-0.00247342,-0.020711,-0.0056149,-0.0144071,-0.0823148,-0.150591,0.248775,-0.060613,0.99987,0.0155154,0.000170524,0.00440338,-0.00152299,-0.00183584,0.180884,-0.00414769,0.000956369,0.322552,0,0,0,-4.59462e-05,0.000195879,0.00944062,1
1581488471336443488,0.00126107,-0.00238946,-0.0207104,-0.00471718,-0.0158414,-0.0820623,0.232827,-0.331144,0.0849842,0.999869,0.0155541,0.000165026,0.0044189,-0.00152299,-0.00183584,0.180884,-0.00389769,0.000830425,0.322551,0,0,0,-3.89036e-05,0.000269624,0.0136512,1
1581488471346450336,0.00108213,-0.00230758,-0.020743,-0.00587216,-0.013583,-0.0835656,-0.0333223,0.151928,-0.123625,0.999869,0.0155608,0.000100645,0.00449705,-0.00152299,-0.00183584,0.180884,-0.00364717,0.000707615,0.322603,0,0,0,-3.89036e-05,0.000269624,0.0136512,1
1581488471356529632,0.000885188,-0.00221524,-0.0208067,-0.00946772,-0.0117916,-0.0837018,-0.342725,0.0889744,0.0541148,0.999868,0.0155862,7.61131e-05,0.00452574,-0.00152299,-0.00183584,0.180884,-0.00337145,0.000569092,0.322705,0,0,0,-2.82236e-05,0.000338219,0.0178754,1
1581488471366511872,0.000464966,-0.00205889,-0.0210213,-0.00972153,-0.0139332,-0.0827711,0.0593001,-0.153102,0.276043,0.999868,0.0155717,3.70805e-05,0.00452821,-0.00152299,-0.00183584,0.180884,-0.00278314,0.000334578,0.323049,0,0,0,-2.82236e-05,0.000338219,0.0178754,1
1581488471376452992,0.000246516,-0.00198255,-0.0211937,-0.0117857,-0.0109118,-0.0910545,-0.163296,0.26393,-0.930766,0.999869,0.0156118,0.000187923,0.00425211,-0.00152299,-0.00183584,0.180884,-0.00247731,0.000220068,0.323325,0,0,0,2.17292e-05,0.00044094,0.0242057,1
